Date,Open,High,Low,Close,Volume
2021-12-02,13300,17250,13300,17250,329183
2021-12-03,22400,22400,18000,18000,2405540
2021-12-06,17450,18600,15550,15850,519826
2021-12-07,15500,18350,15000,15200,952264
2021-12-08,17500,19750,16050,19750,1479537
2021-12-09,21000,25650,21000,25650,1145596
2021-12-10,33300,33300,33300,33300,115621
2021-12-13,40000,42800,28600,36000,3785734
2021-12-14,33900,39800,33150,37000,1233256
2021-12-15,36300,37700,32000,32000,585731
2021-12-16,30800,34500,29150,31600,776321
2021-12-17,30650,31800,28700,29000,372715
2021-12-20,28300,29950,26400,26850,292845
2021-12-21,26850,27600,25150,25400,343507
2021-12-22,27300,31350,25750,28350,1001038
2021-12-23,27900,27950,24400,25200,311785
2021-12-24,24700,25000,23100,23700,127565
2021-12-27,23100,25600,23000,24800,244730
2021-12-28,24400,24700,22750,22750,132740
2021-12-29,24350,26400,22850,22850,452655
2021-12-30,23400,24100,22700,22800,122570
2022-01-03,23150,24050,22850,22950,85269
2022-01-04,22800,22950,21850,22200,68067
2022-01-05,21900,21900,20000,20400,116631
2022-01-06,19800,20300,18950,19600,80536
2022-01-07,20500,25450,20100,25450,1041920
2022-01-10,24000,24000,21650,21650,184383
2022-01-11,21250,22450,21250,22250,88344
2022-01-12,21800,22950,21800,22550,65749
2022-01-13,21700,21700,20950,20950,58145
2022-01-14,20800,21600,20750,21000,40445
2022-01-17,21200,22300,21200,22100,79807
2022-01-18,23950,27700,22300,23100,1202024
2022-01-19,22400,24550,21450,21700,246429
2022-01-20,21700,24500,21000,22800,503372
2022-01-21,22300,24150,22200,22750,232011
2022-01-24,22300,23600,21500,21750,98964
2022-01-25,22050,22450,19550,19900,104818
2022-01-26,20300,20450,19500,19750,56618
2022-01-27,19850,19850,17850,17850,90087
2022-01-28,18550,20400,18200,18300,171629
2022-02-03,19000,19300,18450,18650,44058
2022-02-04,18650,21600,18650,19500,261042
2022-02-07,19750,20100,19350,19600,31351
2022-02-08,19850,19850,19100,19250,29549
2022-02-09,19500,21400,19450,21250,114675
2022-02-10,21800,22350,20050,20150,103078
2022-02-11,19900,22700,19550,20850,319815
2022-02-14,20400,21500,19900,20100,91561
2022-02-15,20100,21200,19550,19800,67453
2022-02-16,19950,20150,19400,19750,67585
2022-02-17,19950,20600,18150,19400,57885
2022-02-18,19100,19600,19000,19250,27494
2022-02-21,18950,18950,18300,18450,27623
2022-02-22,17800,18200,17800,17950,15014
2022-02-23,18300,18650,18050,18650,18937
2022-02-24,18350,18350,17500,17700,14732
2022-02-25,17950,17950,17650,17800,13766
2022-02-28,17650,18450,17650,18450,9844
2022-03-02,18400,19150,18050,18750,29762
2022-03-03,18950,19700,18750,19050,32970
2022-03-04,19200,19200,18500,18700,18741
2022-03-07,18500,18600,17700,17700,20572
2022-03-08,17350,17800,17050,17100,30826
2022-03-10,17350,17650,17150,17250,11883
2022-03-11,17250,17350,16700,16750,23845
2022-03-14,16800,16800,16200,16400,10999
2022-03-15,16400,21050,16200,18200,761516
2022-03-16,17600,17600,17000,17150,66473
2022-03-17,17600,17650,17300,17600,31869
2022-03-18,17700,18500,17600,18400,23669
2022-03-21,18750,18950,18050,18100,37706
2022-03-22,18000,18500,18000,18050,16298
2022-03-23,18100,18200,18000,18050,21343
2022-03-24,17850,18650,17850,17950,20928
2022-03-25,18000,18200,17750,17750,18852
2022-03-28,17850,18500,17600,18000,30621
2022-03-29,18000,19300,18000,18700,62335
2022-03-30,18700,19150,18350,18500,28481
2022-03-31,18250,18500,18000,18200,21160
2022-04-01,18050,18650,17850,18400,13964
2022-04-04,18400,18800,18200,18450,15183
2022-04-05,18700,18700,18200,18400,11063
2022-04-06,18200,18400,18000,18100,13286
2022-04-07,18100,21200,17950,19050,324368
2022-04-08,19350,20150,18800,19550,69390
2022-04-11,19800,20150,19100,19100,39466
2022-04-12,19100,19300,18600,18750,21825
2022-04-13,19000,19400,18750,18850,18465
2022-04-14,19000,19300,18650,18650,11649
2022-04-15,18800,20050,18350,19300,52851
2022-04-18,19250,19850,19100,19200,25293
2022-04-19,19550,19650,19150,19350,23052
2022-04-20,19600,20150,19200,19950,46816
2022-04-21,20600,21000,19850,19850,55505
2022-04-22,20050,20050,19600,19800,20109
2022-04-25,19500,19550,18600,18700,33962
2022-04-26,19000,19200,18700,19100,15232
2022-04-27,18700,19000,18500,18850,15511
2022-04-28,18950,19000,18650,18850,7471
2022-04-29,18900,19150,18750,19050,8586
2022-05-02,18900,19000,18600,18800,4058
2022-05-03,18750,19000,18650,18800,7449
2022-05-04,18900,19000,18200,18400,17688
2022-05-06,18300,18350,18100,18100,8774
2022-05-09,18050,18050,17150,17350,16974
2022-05-10,17150,17450,16600,17450,12164
2022-05-11,17550,17550,17250,17300,3200
2022-05-12,17000,17450,16600,16700,10057
2022-05-13,16850,17000,16450,17000,8049
2022-05-16,17000,17150,16850,17000,4911
2022-05-17,17150,19750,17150,17700,331948
