Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2017-11-21,10050,10080,10020,10045,1065113,,,,,,,
2017-11-22,10090,10145,10080,10105,1085828,,,,,,,
2017-11-23,10120,10120,10060,10075,844473,,,,,,,
2017-11-24,10075,10100,10050,10100,1187356,,,,,,,
2017-11-27,10100,10105,9915,9925,1580152,,,,,,,
2017-11-28,9920,9970,9895,9940,2813229,,,,,,,
2017-11-29,9975,10000,9940,9960,1235645,,,,,,,
2017-11-30,9885,9915,9790,9800,1141143,,,,,,,
2017-12-01,9820,9830,9770,9790,878667,,,,,,,
2017-12-04,9820,9870,9785,9865,1826078,,,,,,,
2017-12-05,9865,9935,9865,9910,405507,,,,,,,
2017-12-06,9910,9910,9780,9780,841054,,,,,,,
2017-12-07,9785,9795,9710,9750,1263169,,,,,,,
2017-12-08,9780,9805,9745,9785,868271,,,,,,,
2017-12-11,9795,9800,9745,9790,970536,,,,,,,
2017-12-12,9770,9775,9735,9750,967740,,,,,,,
2017-12-13,9750,9835,9735,9820,1360808,,,,,,,
2017-12-14,9855,9970,9835,9890,1665512,,,,,,,
2017-12-15,9880,9890,9800,9820,2614309,,,,,,,
2017-12-18,9825,9850,9810,9830,1762448,,,,,,,
2017-12-19,9885,9910,9810,9835,1496604,,,,,,,
2017-12-20,9820,9855,9810,9815,1511012,,,,,,,
2017-12-21,9800,9800,9635,9635,2482439,,,,,,,
2017-12-22,9645,9695,9625,9685,1881811,,,,,,,
2017-12-26,9705,9735,9630,9630,2860460,,,,,,,
2017-12-27,9665,9740,9650,9735,2555817,,,,,,,
2017-12-28,9745,9895,9745,9895,717868,,,,,,,
2018-01-02,9910,9930,9870,9915,869954,,,,,,,
2018-01-03,9945,9980,9930,9960,915997,,,,,,,
2018-01-04,10005,10005,9875,9875,299462,,,,,,,
2018-01-05,9915,10005,9910,10005,806660,,,,,,,
2018-01-08,10070,10095,9990,10075,1138374,,,,,,,
2018-01-09,10075,10120,10000,10045,1890614,,,,,,,
2018-01-10,10065,10065,9965,9975,643199,,,,,,,
2018-01-11,9965,9980,9900,9925,1057044,,,,,,,
2018-01-12,9975,9975,9875,9945,1090017,,,,,,,
2018-01-15,9990,10005,9930,9965,280985,,,,,,,
2018-01-16,9970,10050,9945,10035,300835,,,,,,,
2018-01-17,10025,10045,9990,10020,441754,,,,,,,
2018-01-18,10065,10095,10005,10020,1339283,,,,,,,
2018-01-19,10025,10050,10005,10020,1051781,,,,,,,
2018-01-22,10000,10000,9885,9930,320481,,,,,,,
2018-01-23,9975,10060,9955,10060,372266,,,,,,,
2018-01-24,10055,10120,10055,10075,472164,,,,,,,
2018-01-25,10050,10185,10050,10160,422962,,,,,,,
2018-01-26,10160,10200,10135,10200,515614,,,,,,,
2018-01-29,10260,10325,10260,10290,362439,,,,,,,
2018-01-30,10275,10290,10150,10160,748217,,,,,,,
2018-01-31,10115,10300,10110,10165,954046,,,,,,,
2018-02-01,10175,10220,10135,10160,468425,,,,,,,
2018-02-02,10130,10130,9940,9960,799522,,,,,,,
2018-02-05,9835,9875,9775,9850,1946400,,,,,,,
2018-02-06,9655,9710,9525,9700,1984241,,,,,,,
2018-02-07,9810,9810,9455,9455,398247,,,,,,,
2018-02-08,9470,9565,9430,9515,157839,,,,,,,
2018-02-09,9275,9315,9240,9280,5072335,,,,,,,
2018-02-12,9330,9425,9290,9385,7250751,,,,,,,
2018-02-13,9450,9560,9405,9460,439506,,,,,,,
2018-02-14,9535,9590,9525,9575,208757,,,,,,,
2018-02-19,9705,9705,9575,9640,269469,,,,,,,
2018-02-20,9605,9605,9500,9530,519916,,,,,,,
2018-02-21,9475,9580,9465,9565,5127653,,,,,,,
2018-02-22,9510,9530,9470,9515,145998,,,,,,,
2018-02-23,9550,9655,9550,9650,370416,,,,,,,
2018-02-26,9670,9685,9625,9670,339018,,,,,,,
2018-02-27,9730,9760,9650,9650,275790,,,,,,,
2018-02-28,9615,9655,9515,9530,181691,,,,,,,
2018-03-02,9435,9435,9340,9390,304306,,,,,,,
2018-03-05,9390,9390,9265,9265,5257054,,,,,,,
2018-03-06,9365,9455,9365,9455,331037,,,,,,,
2018-03-07,9495,9565,9400,9470,416604,,,,,,,
2018-03-08,9530,9560,9470,9560,2469817,,,,,,,
2018-03-09,9615,9755,9585,9625,1060530,,,,,,,
2018-03-12,9765,9795,9725,9760,1604395,,,,,,,
2018-03-13,9765,9810,9750,9810,363193,,,,,,,
2018-03-14,9750,9805,9745,9805,114319,,,,,,,
2018-03-15,9810,9840,9735,9820,143886,,,,,,,
2018-03-16,9820,9825,9750,9820,88437,,,,,,,
2018-03-19,9800,9815,9725,9750,179834,,,,,,,
2018-03-20,9690,9785,9670,9785,2053458,,,,,,,
2018-03-21,9795,9820,9780,9805,1145493,,,,,,,
2018-03-22,9810,9890,9800,9840,2473622,,,,,,,
2018-03-23,9635,9655,9495,9510,8150524,,,,,,,
2018-03-26,9490,9590,9445,9590,11928607,,,,,,,
2018-03-27,9655,9665,9615,9640,3997069,,,,,,,
2018-03-28,9525,9535,9455,9505,1741951,,,,,,,
2018-03-29,9520,9605,9490,9590,2959377,,,,,,,
2018-03-30,9665,9680,9625,9625,3119363,,,,,,,
2018-04-02,9620,9690,9585,9590,211748,,,,,,,
2018-04-03,9500,9575,9475,9575,25372897,,,,,,,
2018-04-04,9580,9580,9415,9420,153686,,,,,,,
2018-04-05,9490,9595,9480,9565,72865,,,,,,,
2018-04-06,9485,9530,9460,9515,147423,,,,,,,
2018-04-09,9495,9590,9490,9580,892084,,,,,,,
2018-04-10,9540,9620,9465,9590,857200,,,,,,,
2018-04-11,9590,9620,9550,9555,3323067,,,,,,,
2018-04-12,9585,9610,9560,9560,2415401,,,,,,,
2018-04-13,9590,9630,9580,9620,914755,,,,,,,
2018-04-16,9655,9660,9600,9630,3152567,,,,,,,
2018-04-17,9635,9650,9595,9610,508887,,,,,,,
2018-04-18,9670,9750,9670,9725,122290,,,,,,,
2018-04-19,9760,9785,9725,9760,103119,,,,,,,
2018-04-20,9715,9745,9695,9700,155639,,,,,,,
2018-04-23,9670,9715,9670,9705,3771680,,,,,,,
2018-04-24,9705,9705,9605,9655,147532,,,,,,,
2018-04-25,9575,9595,9535,9590,95715,,,,,,,
2018-04-26,9615,9740,9610,9710,415745,,,,,,,
2018-04-27,9810,9860,9760,9800,732304,,,,,,,
2018-04-30,9835,9865,9805,9855,575487,,,,,,,
2018-05-02,9840,9840,9770,9770,733319,,,,,,,
2018-05-03,9765,9780,9730,9750,250547,,,,,,,
2018-05-04,9755,9755,9680,9680,1411367,,,,,,,
2018-05-08,9715,9750,9625,9640,1247410,,,,,,,
2018-05-09,9625,9650,9550,9605,722250,,,,,,,
2018-05-10,9650,9680,9630,9665,658614,,,,,,,
2018-05-11,9710,9765,9710,9735,325466,,,,,,,
2018-05-14,9755,9755,9690,9710,500216,,,,,,,
2018-05-15,9710,9720,9605,9625,686014,,,,,,,
2018-05-16,9580,9670,9580,9650,713642,,,,,,,
2018-05-17,9705,9705,9610,9615,13562,,,,,,,
2018-05-18,9630,9645,9615,9645,1047,,,,,,,
2018-05-21,9630,9680,9580,9665,103321,,,,,,,
2018-05-23,9655,9730,9655,9730,249144,,,,,,,
2018-05-24,9730,9730,9670,9700,796,,,,,,,
2018-05-25,9660,9735,9660,9715,124201,,,,,,,
2018-05-28,9750,9760,9730,9755,264314,,,,,,,
2018-05-29,9740,9740,9660,9665,379341,,,,,,,
2018-05-30,9610,9610,9395,9455,641387,,,,,,,
2018-05-31,9470,9510,9460,9505,184036,,,,,,,
2018-06-01,9485,9585,9465,9545,130941,,,,,,,
2018-06-04,9565,9615,9560,9605,20871,,,,,,,
2018-06-05,9605,9635,9545,9635,1199,,,,,,,
2018-06-07,9720,9740,9690,9715,195482,,,,,,,
2018-06-08,9680,9680,9605,9625,42416,,,,,,,
2018-06-11,9625,9700,9610,9700,266456,,,,,,,
2018-06-12,9700,9730,9670,9690,245488,,,,,,,
2018-06-14,9595,9620,9495,9520,1870850,,,,,,,
2018-06-15,9545,9545,9450,9450,144044,,,,,,,
2018-06-18,9455,9455,9305,9350,270070,,,,,,,
2018-06-19,9325,9340,9200,9230,459912,,,,,,,
2018-06-20,9265,9345,9230,9295,341947,,,,,,,
2018-06-21,9285,9300,9210,9215,1043610,,,,,,,
2018-06-22,9125,9285,9125,9285,417817,,,,,,,
2018-06-25,9270,9295,9190,9285,192246,,,,,,,
2018-06-26,9195,9285,9160,9265,252284,,,,,,,
2018-06-27,9255,9290,9230,9235,97936,,,,,,,
2018-06-28,9195,9200,9130,9155,436126,,,,,,,
2018-06-29,9155,9190,9065,9170,264058,,,,,,,
2018-07-02,9150,9180,8970,8975,285670,,,,,,,
2018-07-03,9030,9030,8915,8990,393901,,,,,,,
2018-07-04,8965,9020,8945,8960,256972,,,,,,,
2018-07-05,8975,8985,8880,8935,358424,,,,,,,
2018-07-06,8920,9035,8905,9010,190547,,,,,,,
2018-07-09,9000,9080,8980,9055,354576,,,,,,,
2018-07-10,9095,9120,9065,9075,283086,,,,,,,
2018-07-11,9010,9035,8940,9025,82220,,,,,,,
2018-07-12,9040,9090,9005,9040,17986,,,,,,,
2018-07-13,9110,9165,9105,9135,153761,,,,,,,
2018-07-16,9125,9170,9105,9115,132366,,,,,,,
2018-07-17,9105,9125,9075,9095,274480,,,,,,,
2018-07-18,9150,9185,9075,9075,100526,,,,,,,
2018-07-19,9120,9120,9060,9095,80122,,,,,,,
2018-07-20,9075,9100,9010,9100,317140,,,,,,,
2018-07-23,9090,9090,9010,9025,150887,,,,,,,
2018-07-24,9030,9060,8995,9050,33335,,,,,,,
