Date,Open,High,Low,Close,Volume
2021-08-09,68100,78900,68000,68500,15295474
2021-08-10,70600,72800,66600,67300,3390798
2021-08-11,68600,70500,64200,64600,2131971
2021-08-12,66500,72900,65600,69600,6346558
2021-08-13,68700,69600,66100,66600,1180082
2021-08-17,67300,68100,62900,63000,1091488
2021-08-18,61400,64300,60500,61600,800211
2021-08-19,61600,64600,61200,61800,778229
2021-08-20,63700,65200,61200,61700,1077416
2021-08-23,62200,62700,59100,60300,519126
2021-08-24,60800,60900,59100,59100,566016
2021-08-25,59200,60400,58900,59500,392282
2021-08-26,60100,62300,59600,62300,588703
2021-08-27,61400,61400,59900,60400,262933
2021-08-30,60700,61100,58900,59600,303308
2021-08-31,60000,60600,59200,60600,248312
2021-09-01,61000,61100,59900,61000,340176
2021-09-02,61800,68500,60800,65200,4416628
2021-09-03,66000,66900,63300,65100,1066621
2021-09-06,64400,65700,63100,64100,548215
2021-09-07,63300,63600,61800,62400,436167
2021-09-08,61900,64500,61100,62300,590577
2021-09-09,60000,61900,60000,60600,428323
2021-09-10,60900,61200,59400,59700,352292
2021-09-13,59500,63000,59000,61800,614174
2021-09-14,62100,64300,61500,62700,515647
2021-09-15,62700,63000,60400,60400,332656
2021-09-16,60800,60900,60100,60300,137742
2021-09-17,60200,60600,59400,59500,293547
2021-09-23,59000,60800,58100,58200,403666
2021-09-24,59000,59000,56300,56600,342147
2021-09-27,56900,56900,53300,53600,379022
2021-09-28,53400,53600,50600,50900,451675
2021-09-29,49500,50800,49200,49750,258807
2021-09-30,50200,52400,49950,52300,421658
2021-10-01,52800,55900,52300,52500,600587
2021-10-05,62700,68200,61100,68200,8785092
2021-10-06,65100,80300,58300,58300,23826178
2021-10-07,61800,67400,60100,62500,8282257
2021-10-08,64200,69600,63100,66100,6945439
2021-10-12,67900,71400,65200,66200,5174097
2021-10-13,66200,67100,62100,63200,2041170
2021-10-14,62800,66300,61200,65000,2804180
2021-10-15,62500,65900,62100,62900,1994849
2021-10-18,62900,66000,61300,64100,2647907
2021-10-19,63700,65700,63300,64000,1212938
2021-10-20,65400,67800,63400,63700,2564425
2021-10-21,64300,65100,62200,62200,1024856
2021-10-22,62700,63200,60300,60600,746086
2021-10-25,61200,61900,60600,60600,519294
2021-10-26,61300,63100,60400,62300,811844
2021-10-27,62400,64500,61500,61900,1023207
2021-10-28,63700,64500,61900,63600,881793
2021-10-29,64300,65700,62700,62800,1626749
2021-11-01,62800,62800,58500,59000,903807
2021-11-02,59000,59700,57000,57200,546354
2021-11-03,57200,57300,55500,55500,489802
2021-11-04,55500,56600,55000,55100,332174
2021-11-05,59400,63100,55400,55500,2764667
2021-11-08,51600,53700,51000,51900,642467
2021-11-09,51900,54300,51500,54300,615578
2021-11-10,53000,55300,53000,53600,464887
2021-11-11,54100,54800,53700,54200,362520
2021-11-12,54600,55300,53800,55000,285593
2021-11-15,55200,56100,54200,55900,267752
2021-11-16,55500,55800,54800,54900,225918
2021-11-17,55400,57000,53600,54900,634892
2021-11-18,55400,55500,54200,54500,211380
2021-11-19,54000,56800,53900,56800,368471
2021-11-22,56000,58800,55300,57700,490445
2021-11-23,57400,58600,56800,57700,316235
2021-11-24,57800,60000,57700,57700,457291
2021-11-25,58100,60900,57700,60800,705137
2021-11-26,60500,60500,54500,55900,3495796
2021-11-29,53900,55600,51500,53200,1259540
2021-11-30,52800,53400,50600,51300,718382
2021-12-01,53000,53500,50800,51000,737071
2021-12-02,50000,51700,49850,50600,355376
2021-12-03,51200,51500,50600,51300,238056
2021-12-06,51600,51800,50700,51100,207567
2021-12-07,51400,56300,50900,55600,1158263
2021-12-08,54700,56100,54000,55500,710060
2021-12-09,55200,56900,54700,55300,613389
2021-12-10,56100,57300,55100,55700,993013
2021-12-13,56000,57600,55700,56600,570412
2021-12-14,56600,59000,55300,57000,761046
2021-12-15,57600,60400,56500,58500,1232485
2021-12-16,58900,59000,55900,56900,665562
2021-12-17,56200,59000,56200,58200,782037
2021-12-20,58200,59400,55400,55500,686527
2021-12-21,55800,56000,53000,53400,456179
2021-12-22,53600,57300,53500,56600,827491
2021-12-23,55400,58900,53700,54300,1281041
2021-12-24,55700,56200,53500,53600,652453
2021-12-27,53600,55400,53300,53900,421207
2021-12-28,54300,54400,52900,53400,322523
2021-12-29,53600,54400,53200,53200,283336
2021-12-30,53300,53500,51800,52500,235889
2022-01-03,52400,53000,51900,52600,202536
2022-01-04,52700,53200,52300,52700,142777
2022-01-05,53000,53100,51500,51600,220592
2022-01-06,51100,51800,50400,50400,249321
2022-01-07,50500,51700,50500,51300,134355
2022-01-10,51300,51400,50300,50700,134947
2022-01-11,51100,51800,50100,50300,145971
2022-01-12,50300,51200,50300,51200,175993
2022-01-13,51300,51400,50000,50100,220449
2022-01-14,49600,50100,48550,48550,346546
2022-01-17,48600,48900,46400,47400,241765
2022-01-18,47400,48300,46800,46950,172875
2022-01-19,46200,46550,45000,45200,280043
2022-01-20,44950,45850,44700,45700,164585
2022-01-21,45150,45500,44550,44600,199212
2022-01-24,44500,45800,42950,43050,317534
2022-01-25,43050,43350,41300,41300,286341
2022-01-26,41100,41850,40650,40650,196775
2022-01-27,40700,40900,38700,38700,271653
2022-01-28,38750,40100,38250,39950,249427
2022-02-03,41150,42850,40800,41800,259775
2022-02-04,41650,42500,41300,41800,157479
2022-02-07,42200,42200,41050,41550,96613
2022-02-08,41350,42150,40600,40700,184112
2022-02-09,41000,41950,40800,41200,186465
2022-02-10,41950,42800,40850,40850,231750
2022-02-11,40550,41000,40050,40050,176235
2022-02-14,39450,40350,38800,39150,198643
2022-02-15,38950,39550,38750,38750,184872
2022-02-16,39350,41000,39350,40950,197742
2022-02-17,41100,42000,40100,40600,251173
2022-02-18,40400,41750,40000,41650,176736
2022-02-21,41650,43500,41100,43000,319099
2022-02-22,41800,42700,41650,42150,204765
2022-02-23,42450,43450,42450,43150,191337
2022-02-24,42500,42700,41050,41350,234062
