항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,-107,, , 
  당기순이익(지배)＜당기＞,,,,,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"202,521","5,675,616", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"1,297",, , 
  자본총계(지배)＜당기＞,,,,,10.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"840,000","5,840,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,-74,, , 
  영업활동현금흐름＜당기＞,,,,,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"202,521","5,675,616", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"202,521","5,675,616", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"2,175", , 
  EPS＜당기＞,,,,,-107,, , 
펼치기 PBR,,,,,0.00,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"2,175", , 
  BPS＜당기＞,,,,,"1,297",, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"2,175", , 
  CPS＜당기＞,,,,,-74,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"2,175", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,,,,,-0.2,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
