항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,-78,, , 
  당기순이익(지배)＜당기＞,,,,,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"287,342","5,120,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"1,988",, , 
  자본총계(지배)＜당기＞,,,,,101.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"5,120,000","5,120,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,-9,, , 
  영업활동현금흐름＜당기＞,,,,,-0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"287,342","5,120,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"287,342","5,120,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,110","2,170", , 
  EPS＜당기＞,,,,,-78,, , 
펼치기 PBR,,,,,1.06,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,110","2,170", , 
  BPS＜당기＞,,,,,"1,988",, , 
펼치기 PCR,,,,,-232.96,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,110","2,170", , 
  CPS＜당기＞,,,,,-9,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,110","2,170", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,-639.09,, , 
  EV＜당기＞,,,,,105.5,, , 
  EBITDA＜당기＞,,,,,-0.2,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
