,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 SK증권,5.62,1.99,6.77,
1,당기순이익(지배)<당기>,312,114,400,
2,자본총계(지배)<당기>,"5,701","5,751","6,079",
3,자본총계(지배)<전기>,"5,415","5,701","5,751","6,079"
4,펼치기 증권,9.82,11.72,17.27,10.68
5,당기순이익(지배)<당기>,"40,103","53,363","97,234","49,631"
6,자본총계(지배)<당기>,"427,173","477,662","613,052","409,227"
7,자본총계(지배)<전기>,"389,431","427,173","477,662","613,052"
8,펼치기 코스피,4.57,5.25,10.79,10.30
9,당기순이익(지배)<당기>,"714,894","847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"15,774,811","16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"15,060,735","15,774,811","16,513,298","18,756,007"
