,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 NPC,5.29,6.53,8.49,
1,당기순이익(지배)<당기>,144,189,262,
2,자본총계(지배)<당기>,"2,833","2,945","3,223",
3,자본총계(지배)<전기>,"2,610","2,833","2,945","3,223"
4,"펼치기 화장품,의류,완구",6.37,6.25,14.24,12.65
5,당기순이익(지배)<당기>,"24,113","25,990","71,152","45,997"
6,자본총계(지배)<당기>,"395,224","428,015","526,540","372,892"
7,자본총계(지배)<전기>,"364,756","395,224","428,015","526,540"
8,펼치기 코스피,4.57,5.25,10.79,10.30
9,당기순이익(지배)<당기>,"714,894","847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"15,774,811","16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"15,060,735","15,774,811","16,513,298","18,756,007"
