Date,Open,High,Low,Close,Volume
2020-03-12,12195,12415,12195,12410,89359
2020-03-13,12535,12625,12470,12505,73543
2020-03-16,12650,12650,12495,12600,20794
2020-03-17,12665,12710,12575,12700,16408
2020-03-18,12465,12565,12295,12565,11070
2020-03-19,12570,12895,12515,12840,34431
2020-03-20,12665,12745,12530,12580,23246
2020-03-23,13095,13245,12945,12965,41246
2020-03-24,13010,13010,12805,12810,15072
2020-03-25,12685,12685,12530,12585,25213
2020-03-26,12535,12650,12535,12650,14796
2020-03-27,12490,12490,12360,12425,17566
2020-03-30,12530,12685,12530,12655,13409
2020-03-31,12565,12640,12565,12585,5985
2020-04-01,12630,12780,12590,12765,30384
2020-04-02,12785,12890,12740,12740,23249
2020-04-03,12685,12795,12685,12780,10412
2020-04-06,12805,12855,12675,12710,28526
2020-04-07,12635,12640,12520,12560,9478
2020-04-08,12550,12590,12515,12570,11656
2020-04-09,12480,12560,12440,12540,9693
2020-04-10,12495,12575,12390,12490,10677
2020-04-13,12445,12560,12395,12530,5872
2020-04-14,12530,12540,12475,12530,5195
2020-04-16,12665,12730,12665,12730,10980
2020-04-17,12655,12655,12565,12585,16211
2020-04-20,12645,12660,12590,12645,14158
2020-04-21,12645,12860,12645,12760,30771
2020-04-22,12860,12865,12800,12800,18288
2020-04-23,12775,12815,12725,12730,8486
2020-04-24,12740,12825,12740,12815,7517
2020-04-27,12770,12780,12665,12690,25291
2020-04-28,12620,12685,12620,12660,9886
2020-04-29,12685,12685,12595,12640,21024
2020-05-04,12715,12760,12705,12745,10800
2020-05-06,12660,12670,12615,12630,6665
2020-05-07,12645,12695,12630,12635,6826
2020-05-08,12635,12645,12590,12645,5121
2020-05-11,12640,12640,12550,12625,15932
2020-05-12,12620,12700,12620,12675,7200
2020-05-13,12705,12740,12675,12685,5068
2020-05-14,12725,12750,12680,12750,6921
2020-05-15,12755,12780,12730,12770,8440
2020-05-18,12770,12810,12755,12790,20657
2020-05-19,12655,12700,12620,12660,10980
2020-05-20,12710,12735,12670,12730,5996
2020-05-21,12725,12780,12690,12750,4815
2020-05-22,12790,12845,12770,12830,16227
2020-05-25,12840,12875,12825,12875,8634
2020-05-26,12905,12905,12795,12800,10378
2020-05-27,12790,12790,12730,12780,5105
2020-05-28,12760,12855,12760,12830,16206
2020-05-29,12835,12840,12790,12825,6560
2020-06-01,12820,12865,12700,12710,30290
2020-06-02,12685,12715,12660,12700,10749
2020-06-03,12665,12665,12545,12595,21171
2020-06-04,12595,12595,12535,12560,12758
2020-06-05,12515,12520,12380,12400,11251
2020-06-08,12300,12330,12250,12330,31293
2020-06-09,12280,12310,12250,12290,12204
2020-06-10,12300,12325,12220,12235,8078
2020-06-11,12305,12385,12290,12375,11852
2020-06-12,12555,12555,12460,12485,23435
2020-06-15,12490,12625,12490,12625,27732
2020-06-16,12465,12480,12405,12470,17936
2020-06-17,12460,12595,12460,12545,5594
2020-06-18,12555,12600,12485,12485,12362
2020-06-19,12495,12550,12495,12525,6004
2020-06-22,12580,12580,12525,12560,7323
2020-06-23,12525,12590,12465,12500,4493
2020-06-24,12500,12500,12405,12415,15314
2020-06-25,12515,12515,12460,12490,8829
2020-06-26,12460,12460,12400,12450,5584
2020-06-29,12480,12525,12440,12445,17603
2020-06-30,12505,12505,12420,12505,12255
2020-07-01,12445,12500,12425,12495,4485
2020-07-02,12475,12485,12425,12450,4043
2020-07-03,12465,12475,12445,12450,3677
2020-07-06,12470,12470,12390,12400,5374
2020-07-07,12380,12405,12325,12405,12513
2020-07-08,12405,12440,12380,12410,9523
2020-07-09,12345,12425,12345,12425,12157
2020-07-10,12425,12540,12425,12540,9731
2020-07-13,12525,12525,12445,12475,14451
2020-07-14,12515,12555,12510,12535,9538
2020-07-15,12485,12525,12450,12485,9172
2020-07-16,12495,12550,12470,12535,5428
2020-07-17,12550,12560,12505,12535,3489
2020-07-20,12535,12540,12485,12505,11426
2020-07-21,12440,12475,12440,12460,11837
2020-07-22,12450,12450,12400,12445,7242
2020-07-23,12465,12490,12420,12475,7669
2020-07-24,12515,12540,12490,12520,11409
2020-07-27,12500,12500,12440,12465,8239
2020-07-28,12430,12475,12380,12455,7849
2020-07-29,12460,12480,12420,12425,14598
2020-07-30,12420,12465,12370,12460,42531
2020-07-31,12415,12455,12410,12435,13627
2020-08-03,12435,12500,12435,12475,23056
2020-08-04,12430,12475,12425,12465,11996
2020-08-05,12475,12490,12440,12445,8391
2020-08-06,12425,12425,12340,12375,8907
2020-08-07,12360,12450,12360,12380,12199
2020-08-10,12420,12420,12355,12395,18804
2020-08-11,12415,12420,12335,12385,8081
2020-08-12,12375,12375,12310,12325,21451
2020-08-13,12315,12330,12260,12325,6910
2020-08-14,12300,12330,12300,12300,3165
2020-08-18,12300,12345,12295,12340,9189
